store,item,amount
|AL*MART,0.41 Ib @ 1 Ib /0.49  N,0.20
|AL*MART,adi 001200010451 F  N,5.48
|AL*MART,| DISCOUNT GIVEN,0.57
|AL*MART,SUBTOTAL,9.11
|AL*MART,& CHANGE DUE,5.89
|AL*MART,Total,21.25
( TRADER JOE’S,R-CARROTS SHREDDED 10 02,1.29
( TRADER JOE’S,R-CUCUMBERS PERSIAN 1 LB,1.99
( TRADER JOE’S,TOMATOES CRUSHED NO SALT,1.59
( TRADER JOE’S,TOMATOES WHOLE NO SALT W/BASIL,1.99
( TRADER JOE’S,ORGANIC OLO FASHIUNED OATMEAL,2.69
( TRADER JOE’S,MINI-PEARL TOMATOES,2.49
( TRADER JOE’S,PKG SHREDDED MOZZARELLA LITE T,3.99
( TRADER JOE’S,EGGS 1 DOZ ORGANIC BROWN,3.79
( TRADER JOE’S,BEANS GARBANZO,0.89
( TRADER JOE’S,SPROUTED CA STYLE,2.95
( TRADER JOE’S,A-AVOCADUS HASS BAG act,3.99
( TRADER JOE’S,A-APPLE BAG JAZZ 2 Ms),2.93
( TRADER JOE’S,A-PLPPEW BEL EACH %l RED,0.99
( TRADER JOE’S,2a,0.49
( TRADER JOE’S,BANANAS URUANIC,0.87
( TRADER JOE’S,UREAMY SALTED PEANUT BUTTER,2.49
( TRADER JOE’S,WHE WHT PITA BREAU,1.63
( TRADER JOE’S,GROCERY NON TAXABLE,1.38
( TRADER JOE’S,2 @,0.69
( TRADER JOE’S,TOTAL,38.68
( TRADER JOE’S,CHANGE,1.32
( TRADER JOE’S,Total,79.12
Give us feedback @ survey.walmart.com ool 6,ro GV OATMEAL 007874243408 F « 0 —,1.76
Give us feedback @ survey.walmart.com ool 6,OT 2002 TUM 081236803115  X,6.74
Give us feedback @ survey.walmart.com ool 6,M ATHLETICS 019104567781  X g,24.97
Give us feedback @ survey.walmart.com ool 6,DEXAS 15X20 008429710921  X a,12.97
Give us feedback @ survey.walmart.com ool 6,SUBTOTAL  wot,46.44
Give us feedback @ survey.walmart.com ool 6,TAX 17.750 ¥  re,3.46
Give us feedback @ survey.walmart.com ool 6,"TOTAL  ,",49.90
Give us feedback @ survey.walmart.com ool 6,DEBIT TEND  A,49.90
Give us feedback @ survey.walmart.com ool 6,CHANGE QUE  fo,0.00
Give us feedback @ survey.walmart.com ool 6,oot  TOTAL PURCHASE peor,49.90
Give us feedback @ survey.walmart.com ool 6,Total,246.04
See back of r jour chance,TATER TOTS 991312000026 F  0,2.96
See back of r jour chance,HARD/PROV/DC 007874219410 F  0,2.68
See back of r jour chance,SNACK BARS ” 002190848816 F 37,4.38
See back of r jour chance,HRI CL CHS 003120506000 F  0,5.88
See back of r jour chance,HRT CL CHS 003120606000 F  0,6.88
See back of r jour chance,HRI 12 U SG 003120636000 F  0,6.88
See back of r jour chance,SC_BCN CHDDR 007874202906 F  0,6.58
See back of r jour chance,ROLLS OOTST4219416 F =  0,1.28
See back of r jour chance,BTS DRY BLON 601072452746  X,6.68
See back of r jour chance,GALE Qooo00000003K  T,32.00
See back of r jour chance,TR HS FRM 4 002240062190  X,2.74
See back of r jour chance,BAGELS 001376402801 F  0,4.66
See back of r jour chance,GV SLIDERS 007874201525  X,2.98
See back of r jour chance,ACCESSORY 007616161216  X,0.97
See back of r jour chance,CHEEZE IT 002410063623 F  0,4.00
See back of r jour chance,WAS 4.64 YOU SAVED,0.54
See back of r jour chance,RITZ 004400088210 F N,2.78
See back of r jour chance,RUFFLES 002840020942 F  N,2.60
See back of r jour chance,GV HNY GRMS 007874207263 F  N,1.28
See back of r jour chance,SUBTOTAL,139.44
See back of r jour chance,TAX 1 7.000 %,4.58
See back of r jour chance,TOTAL,144.02
See back of r jour chance,CASH TEND,160.02
See back of r jour chance,CHANGE DUE,6.00
See back of r jour chance,Total,552.81
als,PET TOY 004747871686  Xx,1.97
als,PLOPPY PUPPY 004747514446 %,1.97
als,SSSUPREME 8 670060332153  X,4.97
als,2.8 SQURAK 04469905458  x,8.92
als,MUNCHY DHBEL 064113108796  X,3.77
als,DOG TREAT 007119013654  X,2.92
als,PED PCH 1 004510011802  x,0.50
als,PED PCH 1 002310011602  x,0.80
als,COUPON 43100 0$2310037000 -0,1.00
als,HNYMD SMORES 0444914264057 F 0,4.98
als,3 ORANGES 001466635001 P  8,5.47
als,BABY CARROTS 005554566604 T  8,1.40
als,COLLARDS 000000004614KI 5,1.46
als,CALLZONE 008208362080 PF 0,2.50
als,WM RYW MNT 9 (005599105ueu  X,19.77
als,STKOBRLPLABL 001558679414  xX,1.97
als,STKO SUNFLWR 0015548679410  x,0.97
als,STKO SUNFLWR 001554679410  x,0.97
als,STKO SUNFLWR 001558679410  x,0.97
als,BLING BEADS 076594060699  x,0.97
als,GREAT VALUE 007874203191 FP 0,3.97
als,Lipton 001200011444 F %,4.40
als,DRY DOG 002510011055 %,14.44
als,SUBTOTAL,93.62
als,TAX 1 6.780 4%,4.59
als,TOTAL,96.21
als,VISA TEND 1,98.24
als,CHANGE DUE,0.00
als,Total,383.72
Give feedback @ survey.wa.mart.com,VINYL GLOVES 019339700848  X,11.72
Give feedback @ survey.wa.mart.com,AJAX DISHLIM 003500049863  X,2.96
Give feedback @ survey.wa.mart.com,ADVIL DUAL18 090573014718!  X,3.98
Give feedback @ survey.wa.mart.com,VINYL GLOVES 0193 SuBro1,22.68
Give feedback @ survey.wa.mart.com,TAX 1 5 Fy au,8.37
Give feedback @ survey.wa.mart.com,visa TI-ND,35.36
Give feedback @ survey.wa.mart.com,CHANGE DUE,0.00
Give feedback @ survey.wa.mart.com,Total,85.07
PA RADER JOE'S,HARVEST BREAD,1.99
PA RADER JOE'S,PASTA WHOLE WHEAT PENNE ORGANI,1.49
PA RADER JOE'S,BANANAS,2.28
PA RADER JOE'S,12EA = @ (,0.19
PA RADER JOE'S,MILK HALF GAL ALMOND UNSWEETEN,2.99
PA RADER JOE'S,A-LEMON BAG 1 LB,1.49
PA RADER JOE'S,ORGANIC LF VANILLA YOG- 3202,3.29
PA RADER JOE'S,R-CARROTS CUT & PEELED ORGANIC,1.49
PA RADER JOE'S,R-STRAWBERRIES ORG 1 LB,3.49
PA RADER JOE'S,A-AVOCADOS HASS BAG 4CT,2.99
PA RADER JOE'S,UNSALTED BUTTER QUARTERS,3.19
PA RADER JOE'S,TJ'S STRING CHEESE,3.99
PA RADER JOE'S,VEG BROCCOLI FLORETS ORGANIC,2.49
PA RADER JOE'S,LENTILS RED SPLIT,1.69
PA RADER JOE'S,R-SALAD ORGANIC BABY SPINACH 6,1.99
PA RADER JOE'S,TJ'S HONEY NUT O'S CEREAL,2.49
PA RADER JOE'S,TJ'S BNLS SNLS CHICKEN BREASTS,4.22
PA RADER JOE'S,A-APPLE BAG JAZZ 2 LB,2.69
PA RADER JOE'S,A-POTATO BAG SWEET 2 LB,1.79
PA RADER JOE'S,R-HERB CILANTRO BUNCH,0.99
PA RADER JOE'S,BEANS BLACK,3.56
PA RADER JOE'S,402 =@ /02,0.89
PA RADER JOE'S,HUMMUS 7 02,1.99
PA RADER JOE'S,GROUND TURKEY,2.99
PA RADER JOE'S,SWEET ITALIAN CKN SAUSAGE,3.99
PA RADER JOE'S,TJ'S HONEY NUT O'S CEREAL,2.49
PA RADER JOE'S,HARVEST BREAD,1.98
PA RADER JOE'S,SUBTOTAL,64.04
PA RADER JOE'S,TOTAL,64.04
PA RADER JOE'S,Total,193.19
